lon,lat,depth_m
-71.074784,42.362771,6.401
-71.074954,42.362725,6.401
-71.075229,42.362849,6.401
-71.075335,42.363020,6.401
-71.075401,42.363318,6.401
-71.075324,42.363453,6.401
-71.074930,42.363606,6.401
-71.074753,42.363480,6.401
-71.074408,42.363355,6.401
-71.074316,42.363525,6.401
-71.074165,42.363733,6.401
-71.073962,42.364101,6.401
-71.073802,42.364524,6.401
-71.073629,42.364920,6.401
-71.073532,42.365199,6.401
-71.073619,42.365370,6.401
-71.073628,42.365622,6.401
-71.073740,42.365910,6.401
-71.073418,42.366450,6.401
-71.073109,42.366895,6.401
-71.072752,42.367423,6.401
-71.072805,42.367542,6.401
-71.072855,42.367684,6.401
-71.072765,42.367792,6.401
-71.076776,42.356809,6.401
-71.076690,42.356818,6.401
-71.076726,42.356875,6.401
-71.078513,42.357061,6.401
-71.078398,42.357196,6.401
-71.078387,42.357340,6.401
-71.078147,42.357437,6.401
-71.077977,42.357578,6.401
-71.077804,42.357529,6.401
-71.077771,42.357799,6.401
-71.078004,42.358150,6.401
-71.077953,42.358204,6.401
-71.077649,42.358040,6.401
-71.077261,42.358155,6.401
-71.077171,42.358366,6.401
-71.077006,42.358366,6.401
-71.076913,42.358438,6.401
-71.077032,42.358519,6.401
-71.077050,42.358645,6.401
-71.077285,42.358589,6.401
-71.077374,42.358663,6.401
-71.077163,42.358870,6.401
-71.077217,42.359086,6.401
-71.076865,42.359383,6.401
-71.076854,42.359590,6.401
-71.076811,42.359645,6.401
-71.076617,42.359544,6.401
-71.076525,42.359645,6.401
-71.076346,42.359744,6.401
-71.076095,42.360139,6.401
-71.075937,42.360273,6.401
-71.075572,42.360455,6.401
-71.075403,42.360657,6.401
-71.075075,42.360746,6.401
-71.074857,42.360689,6.401
-71.074817,42.360410,6.401
-71.074873,42.360158,6.401
-71.075240,42.360023,6.401
-71.075311,42.359897,6.401
-71.075299,42.359681,6.401
-71.075467,42.359365,6.401
-71.075637,42.359275,6.401
-71.075825,42.359050,6.401
-71.075903,42.358924,6.401
-71.075733,42.358744,6.401
-71.075792,42.358599,6.401
-71.075837,42.358330,6.401
-71.075889,42.357993,6.401
-71.075833,42.357799,6.401
-71.076017,42.357682,6.401
-71.076022,42.357630,6.401
-71.075910,42.357547,6.401
-71.076168,42.356944,6.401
-71.076488,42.356746,6.401
-71.076714,42.356645,6.401
-71.077030,42.356593,6.401
-71.077455,42.356657,6.401
-71.077710,42.356763,6.401
-71.078013,42.356691,6.401
-71.078089,42.356692,6.401
-71.077928,42.356780,6.401
-71.077887,42.356908,6.401
-71.078038,42.357135,6.401
-71.078268,42.357153,6.401
-71.078519,42.357034,6.401
-71.078511,42.356916,6.401
-71.078332,42.356872,6.401
-71.078365,42.356818,6.401
-71.078542,42.356845,6.401
-71.079980,42.356369,6.401
-71.079864,42.356368,6.401
-71.079980,42.356331,6.401
-71.084737,42.355026,6.401
-71.084660,42.355053,6.401
-71.084727,42.355055,6.401
-71.086611,42.356665,6.401
-71.086597,42.356827,6.401
-71.086461,42.356746,6.401
-71.086510,42.356539,6.401
-71.086609,42.356498,6.401
-71.086647,42.356557,6.401
-71.089437,42.353903,6.401
-71.089207,42.354019,6.401
-71.088794,42.354023,6.401
-71.088515,42.354186,6.401
-71.087859,42.354358,6.401
-71.087337,42.354556,6.401
-71.086876,42.354700,6.401
-71.086269,42.354890,6.401
-71.085771,42.355060,6.401
-71.085565,42.355407,6.401
-71.085370,42.355446,6.401
-71.084994,42.355397,6.401
-71.084962,42.355449,6.401
-71.085123,42.355593,6.401
-71.085068,42.355854,6.401
-71.084921,42.355950,6.401
-71.084496,42.356007,6.401
-71.084266,42.355957,6.401
-71.084173,42.356044,6.401
-71.084247,42.356305,6.401
-71.084108,42.356399,6.401
-71.083823,42.356548,6.401
-71.083586,42.356591,6.401
-71.083076,42.356542,6.401
-71.082651,42.356446,6.401
-71.082347,42.356454,6.401
-71.082105,42.356459,6.401
-71.081765,42.356291,6.401
-71.081413,42.356204,6.401
-71.081196,42.356017,6.401
-71.080927,42.355972,6.401
-71.080648,42.355964,6.401
-71.080481,42.355917,6.401
-71.080696,42.355631,6.401
-71.081170,42.355601,6.401
-71.081607,42.355651,6.401
-71.081862,42.355746,6.401
-71.082105,42.355719,6.401
-71.082287,42.355772,6.401
-71.082724,42.355826,6.401
-71.083027,42.355750,6.401
-71.083137,42.355479,6.401
-71.083234,42.355411,6.401
-71.083731,42.355282,6.401
-71.083962,42.355210,6.401
-71.084026,42.355386,6.401
-71.084205,42.355480,6.401
-71.084533,42.355403,6.401
-71.084654,42.355269,6.401
-71.084477,42.355008,6.401
-71.084560,42.354873,6.401
-71.085181,42.354630,6.401
-71.085475,42.354414,6.401
-71.085740,42.354000,6.401
-71.086111,42.353659,6.401
-71.086657,42.353630,6.401
-71.086973,42.353608,6.401
-71.087097,42.353766,6.401
-71.087179,42.353972,6.401
-71.087361,42.353927,6.401
-71.087789,42.353766,6.401
-71.088366,42.353469,6.401
-71.088588,42.353356,6.401
-71.088843,42.353397,6.401
-71.089012,42.353356,6.401
-71.089257,42.353451,6.401
-71.089448,42.353586,6.401
-71.089512,42.353802,6.401
-71.090627,42.356615,6.401
-71.090559,42.356557,6.401
-71.090664,42.356517,6.401
-71.090700,42.356566,6.401
-71.095860,42.354311,6.401
-71.095726,42.354272,6.401
-71.095860,42.354236,6.401
-71.062134,42.368274,5.486
-71.062340,42.368224,5.486
-71.062644,42.368229,5.486
-71.062711,42.368152,5.486
-71.062554,42.369079,5.486
-71.062911,42.369113,5.486
-71.063323,42.369178,5.486
-71.063688,42.369292,5.486
-71.063773,42.369301,5.486
-71.063835,42.369322,5.486
-71.064477,42.369244,5.486
-71.064125,42.369181,5.486
-71.063955,42.369277,5.486
-71.064289,42.368746,5.486
-71.064550,42.368806,5.486
-71.065521,42.368805,5.486
-71.066002,42.368665,5.486
-71.066395,42.368442,5.486
-71.066800,42.368161,5.486
-71.067318,42.368012,5.486
-71.067641,42.367837,5.486
-71.068119,42.367729,5.486
-71.068465,42.367594,5.486
-71.068657,42.367396,5.486
-71.069098,42.367423,5.486
-71.068314,42.368539,5.486
-71.068536,42.368188,5.486
-71.068702,42.368051,5.486
-71.069066,42.368132,5.486
-71.066322,42.369018,5.486
-71.066698,42.369102,5.486
-71.067245,42.368993,5.486
-71.067743,42.368853,5.486
-71.068022,42.368755,5.486
-71.069673,42.368293,5.486
-71.069776,42.368440,5.486
-71.071288,42.368697,5.486
-71.071282,42.368881,5.486
-71.071215,42.368911,5.486
-71.070742,42.368782,5.486
-71.070600,42.368575,5.486
-71.070304,42.368302,5.486
-71.069794,42.368046,5.486
-71.069296,42.367770,5.486
-71.069038,42.367594,5.486
-71.071397,42.367120,5.486
-71.071312,42.367029,5.486
-71.071067,42.366874,5.486
-71.071057,42.366630,5.486
-71.070957,42.366315,5.486
-71.070523,42.366175,5.486
-71.071688,42.368999,5.486
-71.071476,42.369061,5.486
-71.072162,42.367523,5.486
-71.072146,42.367459,5.486
-71.072805,42.367884,5.486
-71.072994,42.367666,5.486
-71.073015,42.367414,5.486
-71.073233,42.367153,5.486
-71.070345,42.365721,5.486
-71.070620,42.365431,5.486
-71.070960,42.365273,5.486
-71.071603,42.365196,5.486
-71.072198,42.365050,5.486
-71.072647,42.364773,5.486
-71.073011,42.364290,5.486
-71.073285,42.363894,5.486
-71.073646,42.363426,5.486
-71.073454,42.363246,5.486
-71.073399,42.363119,5.486
-71.073513,42.362795,5.486
-71.073582,42.362765,5.486
-71.074128,42.362969,5.486
-71.074444,42.362969,5.486
-71.074744,42.362732,5.486
-71.074978,42.362682,5.486
-71.075294,42.362822,5.486
-71.075415,42.363115,5.486
-71.075516,42.363336,5.486
-71.075346,42.363552,5.486
-71.074808,42.363764,5.486
-71.074672,42.363732,5.486
-71.074614,42.363491,5.486
-71.074479,42.363462,5.486
-71.074406,42.363669,5.486
-71.074354,42.363885,5.486
-71.074286,42.364128,5.486
-71.074590,42.364163,5.486
-71.074695,42.364407,5.486
-71.074697,42.364650,5.486
-71.074290,42.365064,5.486
-71.074102,42.365433,5.486
-71.073940,42.366054,5.486
-71.077613,42.359583,5.486
-71.077537,42.359536,5.486
-71.077614,42.359554,5.486
-71.077709,42.358357,5.486
-71.077582,42.358150,5.486
-71.077346,42.358148,5.486
-71.077254,42.358249,5.486
-71.077431,42.358373,5.486
-71.077588,42.358487,5.486
-71.077710,42.358412,5.486
-71.079596,42.356215,5.486
-71.079494,42.356220,5.486
-71.079434,42.356314,5.486
-71.079592,42.356312,5.486
-71.079931,42.356620,5.486
-71.079869,42.356647,5.486
-71.079931,42.356644,5.486
-71.079786,42.357276,5.486
-71.079657,42.357268,5.486
-71.079768,42.357151,5.486
-71.079914,42.357133,5.486
-71.080358,42.356296,5.486
-71.080226,42.356476,5.486
-71.080307,42.356656,5.486
-71.080174,42.356735,5.486
-71.079701,42.356827,5.486
-71.079446,42.356838,5.486
-71.079349,42.356739,5.486
-71.079201,42.356836,5.486
-71.079111,42.357025,5.486
-71.078960,42.357169,5.486
-71.078985,42.357277,5.486
-71.078778,42.357333,5.486
-71.078741,42.357385,5.486
-71.078766,42.357446,5.486
-71.078800,42.357403,5.486
-71.079095,42.357439,5.486
-71.079209,42.357556,5.486
-71.079118,42.357646,5.486
